userId,movieId,ratting,timestamp,last,histHighRatedMovieIds,negHistMovieIds,gender,age,occupation,zipCode,title,genres,label
1,48,5,978824351,1.0,1545|527|595|588|1|2355|2294|783|1566|1907,393|2562|3289|3442|2808|2259|295|1190|3321|3470,F,1,10,48067,Pocahontas (1995),Animation|Children's|Musical|Romance,1
2030,48,3,977809337,1.0,3928|1934|2099|3345|1013|1101|3524|3429|3751|2138,3142|1743|525|1746|3323|935|2183|3556|3343|1542,M,25,4,77345,Pocahontas (1995),Animation|Children's|Musical|Romance,0
4877,48,2,962767153,1.0,2078|1032|2081|616|364|2033|3034|2394|3745|3615,2354|747|3478|2638|311|1204|3370|807|29|1380,M,25,4,94703,Pocahontas (1995),Animation|Children's|Musical|Romance,0
2,1917,3,978300174,1.0,3418|349|1527|2353|1370|648|368|736|2002|1544,2117|2560|3480|3678|2798|1222|3872|3503|3913|3494,M,56,16,70072,Armageddon (1998),Action|Adventure|Sci-Fi|Thriller,0
5122,1917,5,962213528,1.0,3078|2858|2907|1584|2571|32|788|1573|2428|1580,1860|194|742|2379|1966|3397|3195|678|2240|2196,M,25,0,20009,Armageddon (1998),Action|Adventure|Sci-Fi|Thriller,1
3,2081,4,978298504,1.0,2735|1136|3421|1394|1304|1079|1259|2355|3552|104,2481|3945|3629|3056|1756|3725|1519|1425|307|37,M,25,15,55117,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance,1
237,2081,4,1043436812,1.0,1246|2150|1777|1387|3147|2011|153|1682|1012|3686,1364|3536|1917|1104|3156|1165|2180|2306|3389|3550,M,25,6,46835,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance,1
5182,2081,5,961790606,1.0,1049|2479|2333|920|3448|3244|1704|2359|2552|2875,252|2212|1991|76|334|989|3105|2592|1834|1996,F,35,7,55441,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance,1
4,1954,5,978294282,1.0,2366|1201|2692|2947|1214|3418|3702|1240|2951|1036,1719|2853|3132|1164|1097|931|1558|1363|492|3406,M,45,7,02460,Rocky (1976),Action|Drama,1
2060,1954,5,1035086705,1.0,2011|3753|3617|3785|1073|3897|1060|1235|3007|562,400|2011|3951|3027|14|1133|2759|2266|3825|1135,M,1,1,48304,Rocky (1976),Action|Drama,1
